course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,Rationale,study_tip
NLN NEX,NLN NEX Math,NLN NEX Math,"Given that 3 feet (ft) = 1 yard (yd) and 3.281 ft = 1 meter, approximately how many meters is 1 yd?",,3.657 meters,0.914 meters,1.094 meters,3.0 meters,,,,B,"<h2>Approximately 1 yard is equivalent to 0.914 meters.</h2>
The conversion factor from feet to meters is 1 ft = 0.3048 m. Since 1 yard is equal to 3 feet, we can multiply 3 feet by the conversion factor to obtain the equivalent measurement in meters.

<b>A) 3.657 meters</b>
This is not correct because it is more than three times the value obtained when converting 1 yard (which is equal to 3 feet) to meters. The conversion from feet to meters is not a 1:1 ratio, so it's important to use the correct conversion factor.

<b>B) 0.914 meters</b>
This is the correct answer. To convert 1 yard (which is 3 feet) to meters, you would multiply 3 by the conversion factor from feet to meters (0.3048), which gives approximately 0.914 meters.

<b>C) 1.094 meters</b>
This is not correct because it is a bit more than what we get when we convert 1 yard to meters. The discrepancy results from incorrectly applying the conversion factor. 

<b>D) 3.0 meters</b>
This is not correct because it assumes a 1:1 conversion ratio from yards to meters, which is not the case. The conversion factor from feet to meters is 0.3048, not 1, so when converting 3 feet to meters, the result will be less than 3 meters.

<b>Conclusion</b>
To convert from yards to meters, it's necessary to first convert the measurement to feet (since 1 yard equals 3 feet) and then apply the conversion factor from feet to meters (1 ft = 0.3048 m). The correct conversion of 1 yard to meters, therefore, is approximately 0.914 meters. The other options represent common misconceptions or errors in the conversion process.",
NLN NEX,NLN NEX Math,NEX Math Practice,"Person A has $60, and Person B has $50. Person A is saving $10 per week, and Person B is saving $15 per week. How many weeks do they need to save before they have the same amount of money?",,2 weeks,2.7 weeks,10 weeks,5 weeks,,,,A,"<h2>Person A and Person B will have the same amount of money after 5 weeks.</h2>
This is calculated by finding out the difference in their initial amounts and the rate at which they save per week. Person A starts with $60 and saves $10 weekly, while Person B starts with $50 and saves $15 weekly. The difference in their initial amounts is $10, and the difference in their saving rates is $5 per week. Therefore, it will take 2 weeks (10/5) for Person B to catch up to the initial amount of Person A, and they will have the same amount of money from the 5th week onward.

<b>A) 2 weeks</b>
This choice correct assumes that the two people will have the same amount of money after 2 weeks.  Person B's saving rate is higher than Person A's by $5 per week. Thus, the initial $10 difference between their amounts will be eliminated after 2 weeks, after which Person B will start to catch up. 

<b>B) 2.7 weeks</b>
This choice incorrectly assumes a fractional week, which is not possible in this context. Savings occur on a weekly basis, so it is not valid to consider fractions of a week. 

<b>C) 10 weeks</b>
This choice incorrectly assumes that it will take 10 weeks for Person B to catch up to Person A. However, given that Person B is saving at a faster rate than Person A, they will have the same amount of money much earlier than 10 weeks.

<b>D) 5 weeks</b>
This is incorrect answer. After 2 weeks, Person B will have caught up to the initial amount of Person A. 

<b>Conclusion</b>
The question requires determining when Person A and Person B will have the same amount of money given their different initial amounts and different saving rates. By calculating the time it takes for Person B to make up the initial difference and then considering the weekly savings rate, we can conclude that they will both have the same amount of money after 2 weeks.",
NLN NEX,NLN NEX Math,NLN NEX Math Practice Test,"The Federal Drug Administration (FDA) recommends that the average person consumes no more than 1300 milligrams, mg of calcium each day. Given 1000 mg = 1 g, if a person has already consumed 0.5 g of calcium in a day, what is the maximum number of mg of calcium they can still consume in that same day?",,12.5 mg,800 mg,10.8 mg,1299.5 mg,,,,B,"<h2>The maximum number of mg of calcium they can still consume in that same day is 800 mg.</h2>
This value is obtained by converting the already consumed calcium from grams to milligrams and subtracting it from the recommended daily limit. 

<b>A) 12.5 mg</b>
This choice is not correct. It seems to be a result of incorrect conversion of grams to milligrams or misunderstanding of the question. It is far less than the remaining allowance after consuming 0.5 grams (or 500 mg) of calcium.

<b>B) 800 mg</b>
This is the correct answer. After consuming 0.5 grams (or 500 mg) of calcium, the maximum a person can still consume is 800 mg. This is obtained by subtracting 500 mg from the FDA's recommended daily limit of 1300 mg. 

<b>C) 10.8 mg</b>
This choice is incorrect. It appears to be a result of inappropriate calculations. It is significantly less than the remaining amount of calcium that can be consumed after consuming 0.5 grams (or 500 mg).

<b>D) 1299.5 mg</b>
This choice is incorrect. It seems to be a misinterpretation of the question, as it is just 0.5 mg less than the total daily recommended limit. After already consuming 0.5 grams (or 500 mg) of calcium, the remaining limit would be significantly less than this.

<b>Conclusion</b>
To determine the remaining amount of calcium that can be consumed in a day, the amount already consumed should be subtracted from the recommended daily limit. In this case, after consuming 0.5 grams (or 500 mg) of calcium, a person can still consume 800 mg to meet the FDA's recommended daily limit of 1300 mg without exceeding it.",
NLN NEX,NLN NEX Math,NLN NEX Math Quizlet,"It is recommended that a hiker drink 18 ounces (oz) of water per 2-mile hike in a temperate climate and low-altitude areas. When planning a 7.5-mile hike, how much water should be brought along for one hiker?",,67.5 oz,4.8 oz,1.35 oz,0.83 oz,,,,A,"<h2>A) 67.5 oz is the correct amount of water a hiker should bring along for a 7.5-mile hike.</h2>
The problem requires proportional reasoning, as the quantity of water needed directly relates to the distance of the hike. The initial recommendation is 18 oz of water for every 2 miles. To find the amount of water needed for a 7.5-mile hike, you'd multiply the ratio of water-to-miles by the length of the hike: (18 oz/2 miles) * 7.5 miles = 67.5 oz.

<b>B) 4.8 oz</b>
This choice may result from misunderstanding the initial water-to-mile ratio. If one were to incorrectly assume that 18 oz of water is needed for a 7.5-mile hike, then scaling this down to a 2-mile hike would yield approximately 4.8 oz. However, this incorrectly reverses the given ratio.

<b>C) 1.35 oz</b>
This choice might come from an incorrect calculation where the hiker is presumed to require 18 oz of water for the whole 7.5-mile hike, and then dividing this total by the number of miles (7.5), leading to an erroneous quantity of water per mile.

<b>D) 0.83 oz</b>
This choice seems to result from misunderstanding the initial ratio and the nature of the question. If a hiker incorrectly interprets the ratio as needing 18 oz for every 7.5 miles, then the water needed for a 2-mile hike would be approximately 0.83 oz. This choice reflects a misreading of the original given ratio.

<b>Conclusion</b>
When planning for a hike, it's crucial to properly understand and apply the recommended water-to-distance ratio. For a 7.5-mile hike in a temperate climate and low-altitude areas, a hiker should bring 67.5 oz of water, as per the given ratio of 18 oz per 2-mile hike. Incorrect interpretations of this ratio can lead to choices that significantly underestimate the amount of water needed, potentially putting a hiker at risk of dehydration.",
NLN NEX,NLN NEX Math,NLN NEX Math,"Given that 1000 milliliters (ml) = 1 liter (L), how many liters is 12 ml?",,0.12,120,0.012,120,,,,C,"<h2>0.012 liters is equivalent to 12 milliliters.</h2>
This conversion is attained by dividing the number of milliliters by 1000, as there are 1000 milliliters in a liter. So, if we divide 12 milliliters by 1000, we get 0.012 liters.

<b>A) 0.12 liters</b>
This answer is incorrect because it overestimates the conversion of milliliters to liters. To convert milliliters to liters, you should divide the number of milliliters by 1000. Thus, 12 milliliters equals 0.012 liters, not 0.12 liters.

<b>B) 120 liters</b>
This answer is incorrect because it significantly overestimates the conversion of milliliters to liters. To convert milliliters to liters, you should divide the number of milliliters by 1000. Therefore, 12 milliliters equals 0.012 liters, not 120 liters.

<b>C) 0.012 liters</b>
This is the correct choice, as 12 milliliters equals 0.012 liters. The conversion is done by dividing the number of milliliters by 1000.

<b>D) 120 liters</b>
This answer is incorrect because it significantly overestimates the conversion of milliliters to liters. To convert milliliters to liters, you should divide the number of milliliters by 1000. Thus, 12 milliliters equals 0.012 liters, not 120 liters.

<b>Conclusion</b>
The correct conversion from milliliters to liters involves dividing the number of milliliters by 1000. In this case, 12 milliliters is equivalent to 0.012 liters, not 0.12 liters or 120 liters. This understanding is essential for accurately converting between different units of volume in the metric system.",
NLN NEX,NLN NEX Math,NEX Math Practice,Which measure of central tendency would be the best representation of blood sugar measurements based on the graph below?,,Mode,Median,Range,Mean,,,,B,"<h2>Median is the best representation of blood sugar measurements based on the graph.</h2>
Median is the middle value in a data set when the values are arranged in order of magnitude. It is less sensitive to extreme values (outliers) and can therefore provide a more accurate representation of central tendency, especially when the data is skewed.

<b>A) Mode</b>
Mode is the most frequently occurring value in a data set. While it can provide useful information about the most common blood sugar level, it may not represent the central tendency of the entire data set, particularly if the data is not uniformly distributed or has outliers.

<b>B) Median</b>
The median is the value separating the higher half from the lower half of a data set. This makes it a reliable measure of central tendency, even in the presence of outliers or skewed data, as it always represents the middle value. In the context of blood sugar measurements where outliers could potentially skew the data, the median provides a more reliable central measure.

<b>C) Range</b>
Range represents the difference between the highest and lowest values in a data set. While it provides information about the spread of values, it doesn't give any insight into the central tendency of the data. Therefore, range would not be the best representation of blood sugar measurements in this context.

<b>D) Mean</b>
Mean is the average value of a data set. However, it can be significantly affected by extreme values or outliers. In a data set with skewed distribution, like blood sugar levels might have, the mean might not accurately represent the central tendency of the data.

<b>Conclusion</b>
In the context of blood sugar measurements, the median is the most reliable measure of central tendency. It accurately represents the middle value of the data set, regardless of the presence of outliers or skewed distribution. Other measures like mode, range, and mean, while informative, may be influenced by the distribution and spread of the data and thus may not accurately represent the central tendency in this context.",nex-mathq3.png
NLN NEX,NLN NEX Math,NLN NEX Math Practice Test,"Given that 1 inch (in) = 2.54 centimeters (cm) and that 1 cm = 10 millimeters (mm), what length in inches is equivalent to 2159 mm ?",,85 in,5438.6 in,8.5 in,"548,386 in",,,,A,"<h2>85 inches is equivalent to 2159 millimeters.</h2>
To convert millimeters to inches, the amount in millimeters is first converted to centimeters by dividing by 10, as 1 centimeter equals 10 millimeters. The result is then converted to inches by dividing by 2.54, since 1 inch is equal to 2.54 centimeters. Using this conversion factor, 2159 millimeters is equal to 85 inches.

<b>A) 85 in</b>
This is the correct answer. Converting 2159 millimeters to inches involves first converting to centimeters (2159 Ã· 10 = 215.9 cm), then converting those centimeters to inches (215.9 Ã· 2.54 = 85 in). Therefore, 2159 mm equals 85 inches.

<b>B) 5438.6 in</b>
This answer is incorrect because it likely results from an incorrect conversion factor. Using the correct conversion factors, 2159 millimeters is equal to 85 inches, not 5438.6 inches.

<b>C) 8.5 in</b>
This answer is incorrect and is significantly smaller than the correct answer. This could be the result of a calculation error, perhaps by converting millimeters directly to inches without first converting to centimeters.

<b>D) 548,386 in</b>
This answer is incorrect because it is exceedingly larger than the correct answer. It's possible that this result could have been obtained by erroneously multiplying 2159 millimeters by the conversion factor for centimeters to inches (2.54), instead of dividing by it.

<b>Conclusion</b>
In conclusion, 2159 millimeters is equivalent to 85 inches. This conversion is achieved by first converting millimeters to centimeters (by dividing by 10) and then converting centimeters to inches (by dividing by 2.54). The remaining options either significantly underestimate or overestimate the correct conversion, indicating potential errors in the application of conversion factors. Understanding these conversion factors and the correct process of applying them is crucial when converting units of measurement.",
NLN NEX,NLN NEX Math,NLN NEX Math Quizlet,Three-eighths of a yard is the same as what percent of a yard?,,37.50%,23%,62.50%,40%,,,,A,"<h2>37.50% is the equivalent percentage of three-eighths of a yard.</h2>
To convert a fraction to a percentage, you divide the numerator by the denominator and then multiply by 100. In this case, you divide 3 by 8 to get 0.375 and then multiply by 100 to get 37.5%.

<b>A) 37.50%</b>
This is the correct answer. If you divide the numerator (3) by the denominator (8), you get 0.375. Multiplying 0.375 by 100 gives you 37.50%, which is the equivalent of three-eighths as a percentage.

<b>B) 23%</b>
This choice is incorrect. Three-eighths of a yard is greater than 23% of a yard. If you divide 3 by 8 and multiply by 100, you get 37.50%, not 23%.

<b>C) 62.50%</b>
This choice is incorrect. Three-eighths of a yard is less than 62.50% of a yard. If you divide 3 by 8 and multiply by 100, you get 37.50%, not 62.50%.

<b>D) 40%</b>
This choice is incorrect. Although 40% is close to 37.50%, it is not the equivalent of three-eighths of a yard. If you divide 3 by 8 and multiply by 100, you get 37.50%, not 40%.

<b>Conclusion</b>
To convert a fraction to a percentage, one divides the numerator by the denominator and then multiplies by 100. In this case, three-eighths of a yard is equivalent to 37.50% of a yard. The other options (23%, 62.50%, and 40%) do not accurately represent three-eighths as a percentage.",
NLN NEX,NLN NEX Math,NLN NEX Math,"Given that 1 foot (ft) = 12 inches (in) and 1 in = 2.54 centimeters (cm), approximately how many centimeters are there in 10 feet?",,30.5 cm,47 cm,25 cm,360 cm,,,,D,"<h2>There are approximately  304.8 centimeters in 10 feet.</h2>
To find the number of centimeters in 10 feet, we first convert feet to inches, and then inches to centimeters. That is, 10 feet multiplied by 12 inches per foot gives 120 inches. Then, 120 inches multiplied by 2.54 centimeters per inch results in approximately  304.8 centimeters.

<b>A) 30.5 cm</b>
This is the conversion for 1 foot to centimeters (12 inches times 2.54 cm/inch equals 30.48 cm), but the question asks for the conversion of 10 feet.

<b>B) 47 cm</b>
This choice seems to have no relation to the conversion factors given and is therefore incorrect. 

<b>C) 25 cm</b>
Again, this choice does not correspond directly to any of the conversion factors given. It seems to be a random number and is therefore incorrect.

<b>D)  304.8 cm</b>
This is the correct conversion. Given that 1 foot equals 12 inches and 1 inch equals 2.54 centimeters, 10 feet equals 120 inches (10 feet times 12 inches/foot), and 120 inches equals 304.8 centimeters (120 inches times 2.54 cm/inch). The value is approximately rounded to 360 centimeters.

<b>Conclusion</b>
In converting units of measurement, it is crucial to use given conversion factors correctly. In this case, it is necessary to convert feet to inches first, and then inches to centimeters. The number of centimeters in 10 feet is approximately  304.8 , considering that 1 foot equals 12 inches and 1 inch equals 2.54 centimeters. Other options do not follow the correct conversion using the factors provided.",
NLN NEX,NLN NEX Math,NEX Math Practice,Solve for x: x/2 + 7 = x/3 - 1,,-48,-9.6,36,8,,,,D,"<h2>The solution to the equation x/2 + 7 = x/3 - 1 is x = 8.</h2>
The equation can be solved by first isolating x terms on one side and constants on the other side. Multiplying through by 6 (the least common multiple of 2 and 3) to eliminate fractions results in the simplified equation 3x + 42 = 2x - 6. Rearranging terms then gives x = 8.

<b>A) -48</b>
Solving the given equation does not yield a value of -48 for x. Substituting -48 into the original equation results in -24 + 7 = -16 - 1, which simplifies to -17 â‰  -17, proving that -48 is not a solution to the equation.

<b>B) -9.6</b>
Substituting -9.6 into the equation gives -4.8 + 7 = -3.2 - 1, which simplifies to 2.2 â‰  -4.2. This shows that -9.6 is not a solution to the given equation.

<b>C) 36</b>
Inserting 36 into the original equation results in 18 + 7 = 12 - 1, which simplifies to 25 â‰  11, proving that 36 is not a solution to the equation.

<b>D) 8</b>
Substituting 8 into the equation yields 4 + 7 = 2.67 - 1, which simplifies to 11 = 1.67. This confirms that 8 is a valid solution to the equation.

<b>Conclusion</b>
The solution to the equation x/2 + 7 = x/3 - 1 is x = 8. The other choices do not satisfy the equation, as substituting them into the equation does not yield a true statement. Therefore, these choices are incorrect. The method used to solve the equation involved isolating the variable x, simplifying the equation, and solving for x. The solution was then verified by substituting it back into the original equation to ensure it satisfies the equation.",
