course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,Rationale,study_tip
HESI A2,Biology,Biology HESI A2 Practice Exam,The difference between diploid and haploid is as follows:,,Diploid organisms are multicellular,Diploid cells are somatic,Diploid cells have two sets of homologous chromosomes,More than one of the above is true,,,,D,"Option B correctly states that diploid cells are somatic cells that make up the body tissues and organs in an organism, while haploid cells are gametes involved in sexual reproduction. Option C accurately differentiates diploid and haploid cells based on their chromosome sets - diploid cells have two sets of homologous chromosomes (one from each parent), whereas haploid cells have one set of unpaired chromosomes. Therefore, the correct choice is D, as both statements in options B and C are accurate descriptions of the differences between diploid and haploid cells. Option A is incorrect because diploid and haploid refer to the number of sets of chromosomes in a cell, not whether the organism is multicellular or not.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Which of the following is true of Glycolysis?,,It requires the absence of Oxygen,It occurs in the presence of Oxygen,It is the final step of fermentation,It is the final step of anaerobic respiration,,,,B,"Glycolysis is the first step in cellular respiration and can occur in both aerobic (presence of oxygen) and anaerobic (absence of oxygen) conditions. In aerobic respiration, glycolysis takes place in the presence of oxygen and continues with the Krebs cycle and the electron transport chain. So, glycolysis does not require the absence of oxygen but can occur in its presence as part of the overall process of aerobic respiration. Choice A is incorrect because glycolysis can occur in the presence of oxygen. Choice C is incorrect because glycolysis is not the final step of fermentation; it is the initial step. Choice D is incorrect because glycolysis is not the final step of anaerobic respiration; it is the first step, followed by further processes to complete anaerobic respiration.",
HESI A2,Biology,Biology HESI A2 Practice Exam,How does asexual reproduction differ from sexual reproduction?,,asexual reproduction results in all cells being identical to the original cell; sexual reproduction results in half of the cells being identical to the original cell,"asexual reproduction results in two cells that contribute genetic material to daughter cells, resulting in significantly greater variation","sexual reproduction involves two cells that contribute genetic material to daughter cells, resulting in significantly greater variation",sexual reproduction involves one cell that yields all cells produced to be identical,,,,C,"Sexual reproduction involves two cells (gametes) that contribute genetic material to daughter cells, resulting in significantly greater genetic variation in the offspring. This genetic variation is essential for evolution and adaptation to environmental changes. In contrast, asexual reproduction involves one cell dividing to produce offspring that are genetically identical to the parent cell. Choice A is incorrect because sexual reproduction does not result in half of the cells being identical to the original cell; it involves two cells contributing genetic material. Choice B is incorrect because asexual reproduction does not result in significantly greater variation; it produces genetically identical offspring. Choice D is incorrect because sexual reproduction involves two cells contributing genetic material, not one cell yielding all identical cells.",
HESI A2,Biology,Biology HESI A2 Practice Exam,What are the three types of muscle tissue?,,"Cardiac, spinal, stomach","Smooth, skeletal, cardiac","Neuron, epithelial, collagen",None of the above,,,,B,"The correct answer is B: Smooth, skeletal, cardiac. Smooth muscle is found in organs like the stomach and is involuntarily controlled. Skeletal muscle is found in voluntary muscles, like the bicep or quadriceps. Cardiac muscle is found only in the heart walls and works involuntarily to make the heart beat and pump blood. Choices A, C, and D are incorrect because they do not represent the three types of muscle tissue.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Select the cell parts that are present in plant cells but not animal cells (there may be more than one answer):,,Cell membrane,Cell wall,Ribosome,Chloroplast,,,,B,"Plant cells have a cell wall (B) which provides structural support and protection for the cell, a feature that is not present in animal cells. The cell membrane (A) is found in both plant and animal cells. Ribosomes (C) are present in both types of cells and are responsible for protein synthesis. Chloroplasts (D) are unique to plant cells and are responsible for carrying out photosynthesis. Therefore, the correct answers are B and D because the cell wall and chloroplast are specific to plant cells, while the cell membrane and ribosomes are found in both plant and animal cells.",
HESI A2,Biology,Biology HESI A2 Practice Exam,What process do cells in the tip of a plant's root undergo to increase in number?,,Meiosis,Cytokinesis,Fractioning,Mitosis,,,,D,"Cells in the tip of a plant's root undergo the process of mitosis to increase in number. Mitosis is a type of cell division that results in two daughter cells with the same number of chromosomes as the parent cell. This process allows for growth and maintenance of tissues in plants by producing new cells through division. Choice A, Meiosis, is incorrect as meiosis is a type of cell division that reduces the number of chromosomes in cells to produce gametes. Choice B, Cytokinesis, is incorrect as it is the division of the cytoplasm following cell division. Choice C, Fractioning, is not a biological process related to cell division.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Which organelle is involved in the synthesis of proteins?,,Endoplasmic Reticulum,Ribosomes,Lysosomes,Vacuoles,,,,B,"Ribosomes are the organelles involved in the synthesis of proteins. They are the cellular machinery responsible for translating mRNA into proteins, making them essential for cell function and structure. The other organelles listed, such as the Endoplasmic Reticulum, Lysosomes, and Vacuoles, have different functions unrelated to protein synthesis. The Endoplasmic Reticulum plays a role in protein processing and transport, Lysosomes are involved in digestion and waste removal, and Vacuoles are responsible for storage and maintaining cell turgor pressure.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Prokaryotic cells:,,Have a nucleus,Have a capsule,Have membrane-bound organelles,Cannot move on their own,,,,B,"Prokaryotic cells do not have a nucleus or membrane-bound organelles. One characteristic feature of prokaryotic cells is the presence of a capsule, which is a protective layer outside the cell wall. This capsule helps the prokaryotic cell adhere to surfaces, evade the host immune system, and protect against desiccation. Choice A is incorrect because prokaryotic cells lack a nucleus. Choice C is incorrect as prokaryotic cells do not have membrane-bound organelles. Choice D is incorrect as prokaryotic cells can move using structures like flagella or pili.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Which of the following describes the situation where one allele takes a different form from another in a gene?,,phenotype,heterozygous,homolog,homozygous,,,,B,"Heterozygous is the term used to describe the genotype of an individual with two different alleles for a specific gene. In this case, one allele takes a different form from another, resulting in genetic diversity and variation in trait expression. The other choices are incorrect: 'phenotype' refers to the observable traits of an organism, 'homolog' typically refers to chromosomes that are similar in structure, and 'homozygous' describes the genotype where both alleles for a gene are the same.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Which of the following statements about the respiratory system is true?,,The respiratory system consists of all the organs involved in breathing,"Organs included in the respiratory system are the nose, pharynx, larynx, trachea, bronchi, and lungs",The respiratory system conveys oxygen into our bodies and removes carbon dioxide from our bodies,All of the Above,,,,D,"The correct answer is D. The respiratory system consists of all the organs involved in breathing, including the nose, pharynx, larynx, trachea, bronchi, and lungs. Additionally, the respiratory system is responsible for conveying oxygen into our bodies and removing carbon dioxide from our bodies. Therefore, all the statements provided are true, making option D the correct choice. Options A, B, and C are all accurate statements about the respiratory system, reinforcing the correctness of choosing option D.",
HESI A2,Biology,Biology HESI A2 Practice Exam,What is the initial step in the metabolism of food to cellular energy?,,Citric Acid Cycle,Glycolysis,Electron Transport Chain,Photosynthesis,,,,B,"The correct answer is B: Glycolysis. Glycolysis is the initial step in the metabolism of food to cellular energy. During glycolysis, glucose is broken down into pyruvate, generating ATP and NADH. Choices A, C, and D are incorrect because the Citric Acid Cycle and Electron Transport Chain occur later in cellular respiration, while Photosynthesis is the process by which plants convert light energy into chemical energy.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Which of the following bases is not present in RNA?,,Adenine,Thymine,Uracil,Cytosine,,,,B,"In RNA, the base Thymine (option B) is not present. The reason for this is due to the fact that Thymine is specific to DNA, not RNA. RNA contains Adenine (option A), Uracil (option C), and Cytosine (option D) as its bases. Adenine pairs with Uracil in RNA, while Cytosine pairs with Guanine. 

Educationally, understanding the differences between DNA and RNA bases is crucial in pharmacology as it impacts drug design, gene expression, and various biological processes. Knowing that Thymine is exclusive to DNA helps students differentiate between the two nucleic acids and comprehend their distinct roles in cellular functions. This knowledge is fundamental for grasping concepts related to drug interactions, molecular biology, and genetic engineering.",
HESI A2,Biology,Biology HESI A2 Practice Exam,"If a hard-boiled egg is placed in a beaker of saltwater, what will happen to the egg?",,Expand because water will move into the egg,Shrivel because water will leave the egg,Remain the same,None of the above,,,,B,"The correct answer is B. When a hard-boiled egg is placed in a beaker of saltwater, the egg will shrivel because water will leave the egg through osmosis. Osmosis is the movement of water from an area of lower solute concentration to an area of higher solute concentration, in this case, from the egg into the saltwater. The higher concentration of solute in the saltwater causes water to move out of the egg, leading to the egg shrinking or shriveling. Choices A, C, and D are incorrect because the egg will not expand, remain the same, or have an outcome different from shriveling when placed in a beaker of saltwater.",
HESI A2,Biology,Biology HESI A2 Practice Exam,What is the typical result of mitosis in humans?,,two diploid cells,two haploid cells,four diploid cells,four haploid cells,,,,A,"The correct answer is A: two diploid cells. Mitosis is a type of cell division that results in two daughter cells, each having the same number of chromosomes as the parent cell. In humans, the typical result of mitosis is the formation of two diploid cells, not haploid or four cells. Choice B, two haploid cells, is incorrect because mitosis produces genetically identical diploid cells. Choices C and D, four diploid cells and four haploid cells, respectively, are incorrect as mitosis results in two daughter cells, not four.",
HESI A2,Biology,Biology HESI A2 Practice Exam,Which cells in the human body lack nuclei?,,Nerve cells,Red blood cells,Liver cells,Connective tissue cells,,,,B,"Red blood cells, also known as erythrocytes, lack nuclei in humans. This absence of a nucleus allows more space for hemoglobin, the protein responsible for carrying oxygen, making red blood cells efficient at their function of oxygen transport in the body. Nerve cells (Choice A), liver cells (Choice C), and connective tissue cells (Choice D) all possess nuclei as they require genetic material for their functions, such as cell signaling, protein synthesis, and structural support.",
HESI A2,Biology,Biology HESI A2 Practice Exam,What is the term for the breakdown of glycogen into glucose subunits?,,Hydrolysis,Reduction,Metabolism,Transpiration,,,,A,"Hydrolysis is the term used to describe the breakdown of large molecules into smaller units by adding water. In the case of glycogen being broken down into glucose subunits, this process involves the addition of water molecules to break the glycosidic bonds between glucose molecules, resulting in the release of individual glucose subunits. This process is crucial for providing cells with a source of energy when needed. 

Choice B, Reduction, refers to a chemical reaction involving a gain of electrons or a decrease in oxidation state, not the breakdown of glycogen into glucose subunits. Choice C, Metabolism, is a broad term encompassing all biochemical processes in an organism, including anabolism and catabolism, but does not specifically describe the breakdown of glycogen into glucose subunits. Choice D, Transpiration, is the process of water movement through a plant and is not related to the breakdown of glycogen into glucose subunits.",
