course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,Rationale,study_tip
HESI A2,Physics,HESI A2 Physics Practice Test,"According to the zeroth law of thermodynamics, two systems are in thermal equilibrium if:",,They have the same pressure.,They have the same volume.,They have the same temperature.,They are made of the same material.,,,,C,"The correct answer is C: ""They have the same temperature."" The zeroth law of thermodynamics states that if two systems are each in thermal equilibrium with a third system, they are also in thermal equilibrium with each other. This implies that they have the same temperature. 

Choice A is incorrect because pressure is not the determining factor for thermal equilibrium. Choice B is incorrect because volume alone does not dictate thermal equilibrium. Choice D is incorrect as the materials the systems are made of do not determine thermal equilibrium according to the zeroth law of thermodynamics.",
HESI A2,Physics,HESI A2 Physics Practice Test,"In a circuit with three same-size resistors wired in series to a 9-V power supply, producing 1 amp of current, what is the resistance of each resistor?",,9 ohms,6 ohms,3 ohms,1 ohm,,,,C,"In a series circuit, the total resistance is the sum of the individual resistances. With a total voltage of 9 V and a current of 1 A, we can use Ohm's Law (V = I  R) to find the total resistance: Total resistance = 9 V / 1 A = 9 ohms. Since the resistors are identical and wired in series, the total resistance is evenly divided among the three resistors: Resistance of each resistor = 9 ohms / 3 = 3 ohms. Thus, the resistance of each resistor is 3 ohms. Therefore, the correct answer is 3 ohms. Choice A, 9 ohms, is incorrect because this would be the total resistance of all three resistors combined in series. Choice B, 6 ohms, is incorrect as it does not account for the equal distribution of resistance in a series circuit. Choice D, 1 ohm, is incorrect as it is too low for resistors in series with a total resistance of 9 ohms.",
HESI A2,Physics,HESI A2 Physics Practice Test,"When a charged particle moves through a vacuum at a constant speed, it generates:",,An electric field only,A magnetic field only,Both an electric and magnetic field,Neither an electric nor magnetic field,,,,C,"A moving charged particle generates both an electric field and a magnetic field. The electric field is due to the charge itself, and the magnetic field is produced by the motion of the charge. Choice A is incorrect because a moving charged particle also generates a magnetic field. Choice B is incorrect because a moving charged particle generates both electric and magnetic fields. Choice D is incorrect as a moving charged particle generates fields due to its charge and motion.",
HESI A2,Physics,HESI A2 Physics Practice Test,A 5-cm candle is placed 20 cm away from a concave mirror with a focal length of 10 cm. What is the image distance of the candle?,,20 cm,40 cm,60 cm,75 cm,,,,C,"To find the image distance of the candle, we use the mirror formula: 1/f = 1/do + 1/di, where f is the focal length, do is the object distance, and di is the image distance. In this case, the focal length f = 10 cm and the object distance do = 20 cm. Substituting these values into the formula gives us 1/10 = 1/20 + 1/di. Solving for di, we get di = 60 cm. Therefore, the image distance of the candle is 60 cm. Choice A (20 cm) is incorrect because it represents the object distance, not the image distance. Choice B (40 cm) is incorrect as it does not consider the mirror formula calculation. Choice D (75 cm) is incorrect as it does not match the correct calculation based on the mirror formula.",
HESI A2,Physics,HESI A2 Physics Practice Test,"According to the law of conservation of energy, energy:",,Can be created or destroyed,"Can be created, but not destroyed","Can be destroyed, but not created",Cannot be created or destroyed,,,,D,"The correct answer is D: 'Cannot be created or destroyed.' The law of conservation of energy states that energy cannot be created or destroyed; it can only be transformed from one form to another. This principle is a fundamental concept in physics and is supported by numerous observations and experiments. Choices A, B, and C are incorrect because they do not align with the law of conservation of energy. Energy is a conserved quantity, meaning its total amount remains constant over time, even though it can change forms.",
HESI A2,Physics,HESI A2 Physics Practice Test,What is the electric field inside a hollow conductor with a net charge?,,Remains constant,Decreases,Zero,Becomes unpredictable,,,,C,"The correct answer is C: Zero. According to Gauss's Law, the electric field inside a hollow conductor (a conductor with no charge inside but a net charge on its surface) is zero. The charges reside on the outer surface of the conductor, causing the electric field inside to cancel out. Choices A, B, and D are incorrect because the electric field inside a hollow conductor with a net charge is not constant, does not decrease, and does not become unpredictable; it is zero due to the distribution of charges on its surface.",
HESI A2,Physics,HESI A2 Physics Practice Test,An object moves 100 m in 10 s. What is the velocity of the object over this time?,,10 m/s,90 m/s,110 m/s,"1,000 m/s",,,,A,"Velocity is calculated as the displacement divided by the time taken to cover that displacement. In this case, the object moves 100 meters in 10 seconds. Therefore, the velocity is 100 m / 10 s = 10 m/s. Choice B, 90 m/s, is incorrect as it doesn't match the calculated velocity. Choice C, 110 m/s, is incorrect as it is higher than the calculated velocity. Choice D, 1,000 m/s, is incorrect as it is significantly higher than the calculated velocity.",
HESI A2,Physics,HESI A2 Physics Practice Test,"In an electrically neutral atom, the number of:",,Electrons is equal to protons,Protons is equal to neutrons,Neutrons are always greater than protons,Electrons are always less than protons,,,,A,"In an electrically neutral atom, the number of electrons is equal to the number of protons. Electrons carry a negative charge, protons carry a positive charge, and neutrons are neutral. Since the atom is electrically neutral, the positive charge of the protons must balance the negative charge of the electrons, making the numbers of electrons and protons equal. Choice B is incorrect because protons are not equal to neutrons in an atom. Choice C is incorrect because neutrons are not always greater than protons, and choice D is incorrect because electrons are not always less than protons in an atom.",
HESI A2,Physics,HESI A2 Physics Practice Test,A hummingbird's wings beat at 25 beats per second. What is the period of the wing beating in seconds?,,0.04 s,0.25 s,0.4 s,4 s,,,,A,"The period represents the time for one complete cycle of the wing beating. To calculate the period, you take the reciprocal of the frequency. In this case, with the wings beating at 25 beats per second, the period is 1/25, which equals 0.04 seconds. Therefore, choice A, 0.04 seconds, is correct. Choices B, C, and D are incorrect because they do not reflect the correct calculation of the period based on the given frequency of 25 beats per second.",
HESI A2,Physics,HESI A2 Physics Practice Test,"An airplane travels 500 miles northeast and then, on the return trip, travels 500 miles southwest. Which of the following is true?",,"The displacement of the plane is 1,000 miles, and the distance traveled is 0 miles.","The displacement of the plane is 1,000 miles, and the distance traveled is 1,000 miles.","The displacement of the plane is 0 miles, and the distance traveled is 0 miles.","The displacement of the plane is 0 miles, and the distance traveled is 1,000 miles.",,,,D,"The displacement of an object is the change in position from the starting point to the ending point, regardless of the path taken. In this case, the airplane returns to its original position after traveling 500 miles northeast and then 500 miles southwest. Therefore, the displacement is 0 miles. However, the distance traveled is the total path covered, which is 500 miles northeast plus 500 miles southwest, for a total of 1,000 miles. Choice A is incorrect because the displacement is not the sum of the distances traveled. Choice B is incorrect as it incorrectly states that both the displacement and the distance traveled are 1,000 miles. Choice C is incorrect as it states that both the displacement and the distance traveled are 0 miles, which is not the case.",
