course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,rationale,study_tip
HESI A2,Math,Test 1,This is a question 1,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,English,Test 1,This is a question 2,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Science,Test 1,This is a question 3,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Physics,Test 1,This is a question 4,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Anotomy,Test 1,This is a question 5,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Math,Test 2,This is a question 6,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,English,Test 2,This is a question 7,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Science,Test 2,This is a question 8,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Physics,Test 2,This is a question 9,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Anotomy,Test 2,This is a question 10,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Math,Test 1,This is a question 11,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,English,Test 1,This is a question 12,,one,two,three,four,five,,,A,rationale,study_tip
HESI A2,Science,Test 1,This is a question 13,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Physics,Test 1,This is a question 14,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Anotomy,Test 1,This is a question 15,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Math,Test 2,This is a question 16,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,English,Test 2,This is a question 17,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Science,Test 2,This is a question 18,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Physics,Test 2,This is a question 19,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Anotomy,Test 2,This is a question 20,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Math,Test 1,This is a question 21,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,English,Test 1,This is a question 22,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Science,Test 1,This is a question 23,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Physics,Test 1,This is a question 24,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Anotomy,Test 1,This is a question 25,,one,two,three,four,five,,,A,rationale,study_tip
NLN NEX,Math,Test 2,This is a question 26,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,English,Test 2,This is a question 27,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Science,Test 2,This is a question 28,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Physics,Test 2,This is a question 29,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Anotomy,Test 2,This is a question 30,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Math,Test 1,This is a question 31,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,English,Test 1,This is a question 32,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Science,Test 1,This is a question 33,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Physics,Test 1,This is a question 34,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Anotomy,Test 1,This is a question 35,,one,two,three,four,five,,,A,rationale,study_tip
TEAS 7,Math,Test 2,This is a question 36,,one,two,three,four,five,,,A,rationale,study_tip
