course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,Rationale,study_tip
HESI A2,Grammar,HESI A2 Grammar Practice Exam,"Select the word that makes this sentence grammatically correct: 'While he was an apprentice, Steve ____ a great deal of time in the studio.'",,spends,spent,spended,spend,,,,B,"Spent' is the correct past tense of 'spend.' In this sentence, the action of spending time in the studio already happened while Steve was an apprentice, requiring the past tense 'spent.' 'Spends' is present tense, 'spended' is not a valid word, and 'spend' is present tense without matching the past context of the sentence.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,Select the word that makes this sentence grammatically correct. Our subcommittee ___________ on the fourth Wednesday of each month.,,meet,meets,meeting,are meeting,,,,B,"The word 'subcommittee' is singular, so the correct verb to use is 'meets' as it agrees with the singular subject. 'Meets' is the present tense form of the verb that matches a singular subject. Choice A 'meet' is incorrect as it is the plural form of the verb. Choice C 'meeting' is a gerund and does not fit the sentence structure. Choice D 'are meeting' is incorrect as 'are' is not the correct auxiliary verb to pair with 'subcommittee'.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,What word is best to substitute for the underlined words in the following sentence? The doctor and I went over the doctor's and my notes.,,his,their,our,mine,,,,C,"The word 'our' is the best substitute for the underlined words 'the doctor's and my' in the sentence. Using 'our' indicates joint possession, making the sentence more concise and natural. 
Choice A, 'his', is singular possessive and does not reflect the joint ownership implied by the sentence. Choice B, 'their', is plural possessive and does not align with the singular subjects 'the doctor and I'. Choice D, 'mine', is possessive for the first person singular pronoun and does not convey the shared ownership of the notes by both individuals.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,"Select the correct word for the blank in the sentence: 'After completing the intense surgery, Dr. Capra needed a long ____.'",,brake,break,brink,broke,,,,B,"The correct word to fill in the blank is 'break.' In this context, 'break' refers to a pause or rest, which is what Dr. Capra needed after completing the intense surgery. 'Brake' (choice A) refers to a device used to slow or stop a vehicle. 'Brink' (choice C) means the edge or verge of something. 'Broke' (choice D) is the past tense of 'break' and is grammatically incorrect in this sentence.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,"Select the phrase or clause that is misplaced in the following sentence: At a presentation, he informed us about the dangers of drugs and alcohol in the auditorium.",,At a presentation,about the dangers,of drugs and alcohol,in the auditorium,,,,D,"The phrase 'in the auditorium' is misplaced in the sentence because it suggests that the dangers of drugs and alcohol were in the auditorium, which is not the intended meaning. It would make more sense for this phrase to come immediately after 'he informed us' to indicate where the presentation took place. Choices A, B, and C are all correctly placed within the sentence, providing necessary information about the context and topic of the presentation.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,"Which word is used incorrectly in the following sentence? Many pass through those doors, but only a few deserve their degrees.",,pass,through,deserve,degree,,,,C,"The word 'deserve' should be used instead of 'deserves' to match the plural subject 'few'. The subject 'few' is plural, so the verb should also be plural. Therefore, the correct sentence should be 'but only a few deserve their degrees.' Choices A, B, and D are used correctly in the sentence and do not need any changes.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,Which word is used incorrectly in the following sentence? That is the doctor whose diploma is hung on the partition.,,That,whose,hung,partition,,,,B,"The word 'whose' in the sentence should be 'whose.' 'Whose' is the correct possessive form used to indicate that the diploma belongs to the doctor. 'Who's' is a contraction for 'who is' or 'who has,' which does not make sense in this context. The other words in the sentence - 'That,' 'hung,' and 'partition' are all used correctly in the sentence.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,"Select the phrase that will make this sentence grammatically correct. Once they pass the exam, the students ___________.",,being certified,have been certified,will be certified,are certifying,,,,C,"The correct answer is 'will be certified' because it correctly indicates the future tense of the action of certifying the students after they pass the exam. This phrase accurately conveys the timing of the certification process in relation to the completion of the exam. Choice A 'being certified' is incorrect as it does not specify the future tense, while choice B 'have been certified' is incorrect as it indicates a past action. Choice D 'are certifying' is incorrect as it suggests the certification is currently happening, which is not the intended meaning in the sentence.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,What word is best to substitute for the underlined words in the following sentence? Stu often regarded his roommates' housekeeping as sloppy and careless.,,his,hers,them,their,,,,D,"The word 'their' is the best substitute for the underlined words in the sentence because it refers to Stu's roommates in a possessive form, indicating that the housekeeping belongs to them. 'His' (Choice A) refers to Stu, not the roommates. 'Hers' (Choice B) is incorrect as it refers to a female possessive form. 'Them' (Choice C) is a pronoun for a group of people but does not show possession, making it unsuitable in this context.",
HESI A2,Grammar,HESI A2 Grammar Practice Exam,Which word is not spelled correctly in the context of the following sentence? The attending physician led a small entourage of students and interns.,,attending,lead,entourage,interns,,,,B,"The correct answer is B, 'lead.' The correct spelling should be 'led' in the context of the sentence. 'Lead' is a present tense verb, while 'led' is the past tense of 'lead' when used in the sense of guiding or showing the way. Choice A, 'attending,' is spelled correctly. Choice C, 'entourage,' is spelled correctly. Choice D, 'interns,' is spelled correctly. The error lies in the verb 'lead' being used incorrectly in the past tense form.",
