course,subject,exam,question,extract,optionA,optionB,optionC,optionD,optionE,optionF,optionG,correct_answer,Rationale,study_tip
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,Why did Strauss set up a net during the construction of the Golden Gate Bridge?,"Linking San Francisco to Marin County in California, the Golden Gate Bridge is one of the most famous bridges in the world. The bridge crosses over a narrow strait which connects the Pacific Ocean to San Francisco Bay. Prior to the bridge, people traveled by ferry boat across the strait. Although most people thought a bridge was necessary to expedite travel, some residents of the Bay area felt the risk of building the bridge was too great. Joseph Strauss believed that nothing was impossible, and dreams would never come to fruition if risks weren't taken. So, he decided to gather the best and brightest builders, architects, and workers to embark on the challenge of building a bridge across the Golden Gate Strait. With safety nets in place, the construction began in 1937. Building the anchorages first, the builders then moved on to the towers on each end, and then to the three-foot-thick cables to support the suspension bridge. Lastly, workers labored to complete the roadway which became the most dangerous and treacherous part of the entire task. The builders had to keep the bridge balanced, so it wouldn't fall into the bay. Today, over sixty-five years later, the bridge remains a lifeline for the people of the San Francisco Bay Area",For suspension,For balance,For aesthetics,For safety,,,,D,"Strauss set up a net to ensure the safety of the workers in case of falls during the construction of the Golden Gate Bridge. Safety nets were essential to protect the workers from potential accidents or falls while working on the bridge. Choice A ('For suspension') is incorrect as safety nets were not used for suspension purposes but rather for worker safety. Choice B ('For balance') is incorrect as the balance of the bridge was maintained by other construction elements, not safety nets. Choice C ('For aesthetics') is incorrect as safety nets are not related to the visual appearance of the bridge but rather to the protection of the workers.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,What is the main idea of the passage about High Fructose Corn Syrup?,"HCFS: 
The impact of high fructose corn syrup (HFCS) on health has been a topic of concern in recent years. High fructose corn syrup, a sweetener derived from corn, has been linked to various health issues, including obesity. Unlike refined table sugar, which is a natural product, HFCS is manufactured through a chemical process. Studies have shown that rats tend to prefer HFCS over other sweeteners, raising questions about its effects on human health. The American Medical Association (AMA) has examined the implications of HFCS consumption and its potential role in the obesity epidemic. Despite some benefits in terms of cost and versatility in food products, the association has highlighted potential health risks, including increased caloric intake and potential links to obesity. As research continues, the debate over the safety and health implications of HFCS remains relevant.",The passage discusses the potential health risks associated with consuming HFCS.,High fructose corn syrup may be contributing to obesity.,Manufacturing process of HFCS involves a chemical process.,Rats prefer high fructose corn syrup over other sweeteners.,,,,B,"The main idea of the passage about High Fructose Corn Syrup is that it may be contributing to obesity in America. This is evident from the information provided in the extract, which discusses how HFCS has been linked to health issues, including obesity. Choice A is incorrect because the passage primarily focuses on the potential health risks associated with HFCS consumption, not just the examination by the American Medical Association. Choice C is irrelevant as it only talks about the manufacturing process of HFCS, which is not the central theme of the passage. Choice D is incorrect as it emphasizes the preference of rats for HFCS, which is a minor point compared to the potential impact on human health, particularly in relation to obesity.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,Why did the author write this passage?,"GETTING A GOOD NIGHT'S SLEEP:
  Have you ever found yourself staring at the ceiling at 2:00 a.m.? Have you kicked the blankets off to the floor from burning? Many sufferers of insomnia know these situations all too well. As many as 17% of Americans find the restful break of sleep hard to achieve.
  Lack of sleep affects intellectual abilities at work or school by causing a deficit in memory, attention, and concentration, which in turn creates a feeling of irritation or depression. Chronic insomnia can result from a medical illness, a psychiatric condition, or from sleep apnea, a condition where an individual actually stops breathing during sleep.
  Sleep hygiene, developing good sleep habits, and non-pharmacological therapies such as herbs and spices are some solutions to insomnia. There is no need to live with insomnia, so contact a physician and get a good night's sleep!",To explain insomnia and propose some solutions for the condition.,To encourage people to avoid sleep.,To criticize people who have sleep problems.,To promote the use of sleep medication.,,,,A,"The correct answer is A. The author wrote the passage to explain insomnia and suggest ways to deal with it. The passage provides information about insomnia, its impact on daily life, and offers solutions like sleep hygiene and non-pharmacological therapies. Choices B, C, and D are incorrect as the passage does not encourage avoiding sleep, criticize people with sleep problems, or promote the use of sleep medication. Instead, it focuses on understanding and addressing insomnia.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,What is the author's reason for writing the passage on the White Elephant?,"THE WHITE ELEPHANT:
  Centuries ago, in the country of Siam, now known as Thailand, it was the custom of the rulers to punish those who displeased them by giving the offender a white elephant. Because the animal was considered sacred, it could not be made to work as other elephants did, but still had to be fed hundreds of pounds of fruit and cared for in the most lavish style. The recipient could not give the elephant to anyone else, as it was a gift from the ruler, who would be greatly displeased should the recipient not receive the gift graciously or care for it in a grand style. This monetary burden could be a major liability to the recipient, and in many cases, they became impoverished.
  This is the origin of the term ""white elephant,"" as it is used today to denote an unwanted gift. The popular way of gift exchange played during the holiday season is an offshoot of this tradition. In this game, everyone brings a gift, and the gifts are exchanged by drawing numbers and picking a gift in turn. The second person can choose a new gift or steal the first one. It is all in good fun, and people enjoy giving silly gifts and ""stealing"" someone else's.",To inform readers about Thailand's historical customs.,To entertain readers with the origins of the term 'white elephant.',To explain the tradition of giving white elephants.,To criticize the tradition of giving white elephants as gifts.,,,,C,"The correct answer is C: 'To explain the tradition of giving white elephants.' The passage provides historical context about the practice of giving white elephants as gifts in ancient Siam, now Thailand. It explains how white elephants were considered sacred, could not be put to work, and became a burden to the recipients. The author's purpose is to shed light on this tradition and its implications, not to inform readers about Thailand in general (choice A), entertain with fun facts (choice B), or criticize the tradition (choice D). Choices A and B are incorrect because the passage focuses specifically on the tradition of giving white elephants, not on broader aspects of Thailand or entertainment. Choice D is incorrect because the passage does not criticize the tradition but rather provides a factual account of its historical significance.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,Choose the best summary of the passage about microbes.,"MICROBES IN HUMAN HEALTH:
There are 10 times more microbes than human cells in the human body. Scientists have long known that the human body hosts a staggering number of microorganisms. Recent discoveries, however, are shedding light on how pivotal these bacteria are in the development of the human immune system. The body supports a wide array of microorganisms specially adapted to survive in particular regions. Remarkably, there is such variation in these microorganisms that few people share the same strains in the same quantities.
The colonization of microbes begins at birth. A newborn infant, emerging from the germ-free environment of the womb, is immediately exposed to germs from its mother's birth canal. These bacteria swiftly begin to breed and colonize the infant's body, which becomes their new host. The most fascinating discovery is not just that the immune system tolerates these millions of harmless organisms, but that it may actually rely on their presence to function properly.
For example, laboratory mice unable to produce a specific inflammation-reducing molecule were injected with a particular strain of bacteria. After the bacteria colonized, the mice's immune systems developed the ability to synthesize the molecule. Essentially, the mice needed the bacteria for their immune systems to function correctly.
This concept is also being applied to humans through a relatively experimental procedure known as fecal bacteriotherapy. This treatment reintroduces healthy bacteria into a colon that has lost its ability to defend against pathogens. While scientists are only beginning to understand the critical role these microorganisms play in human health, early research has yielded remarkable discoveries.","Scientists have discovered the importance of certain bacteria for a well-functioning immune system, especially in defending against pathogens. The colonization of microbes in the body begins at birth, with the immune system relying on these bacteria for proper function.","The passage discusses the role of bacteria in the development of the human immune system. It highlights that the body supports various microorganisms crucial for immunity, starting from birth. The presence of harmless bacteria is essential for the immune system to work effectively.",The body hosts a vast number of microorganisms critical for immune system development. Harmless bacteria are necessary for the immune system to defend against pathogens effectively. Early research shows promising results in fecal bacteriotherapy for restoring the immune system's ability to fight off harmful invaders.,"Microbes play a pivotal role in human health, particularly in immune system development. The introduction of healthy bacteria is essential for the immune system to function correctly. Fecal bacteriotherapy is a novel approach to reintroducing beneficial bacteria into a compromised colon to enhance immune response.",,,,C,"The correct answer is C. The passage emphasizes the importance of certain bacteria for a properly functioning immune system. It discusses how harmless bacteria play a crucial role in defending the body against pathogens. Choice A is incorrect as it focuses on the immune system's response to certain types of bacteria in lower organisms, not the overall importance of bacteria for immunity. Choice B is incorrect as it mainly discusses bacteriotherapy in relation to the reconstruction of a damaged colon, rather than the broader role of bacteria in immune system health. Choice D is incorrect as it only talks about the process of replacing harmful bacteria with harmless ones, missing the key point about the necessity of certain bacteria for immune system function.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,"In this passage, which of the following is not mentioned as a role of HGH in the human body?","SLEEP:
Developing muscle growth is an effective way to stay healthy as we get older, but many people find it difficult to develop this muscle growth, even after modifying their exercise routine and food intake. What many people may not realize is that getting the proper amount of uninterrupted sleep plays a major role in the development of muscle. The hard work of developing muscle is done in the gym, on a track, or on the court, but the actual growth takes place during the rest periods that follow a workout. Your body immediately begins rebuilding the muscle fibers that were broken down during the course of your workout. Much of this process is carried out while you are sleeping, so without a full night of sleep, muscle fibers will not have the opportunity to rebuild.
Human growth hormone (HGH) is an amino acid that is central to regulating metabolism, building muscle, facilitating calcium retention, and stimulating the immune system. The amount of HGH in your body spikes significantly during deep sleep, which makes getting at least 7 to 10 hours of sleep every night imperative to anyone hoping to develop additional muscle growth. Recent studies have linked inadequate amounts of sleep to lowered levels of leptin, a hormone in the brain that controls appetite. Test subjects who received less sleep, or frequently interrupted sleep, would crave carbohydrates even after their caloric needs reached satiety. This can contribute to obesity and negatively affect any good habits people may have developed with regard to food intake.",Regulating the metabolism.,Stimulating the immune system.,"Regulating leptin, an appetite-controlling hormone.",Facilitating calcium retention.,,,,C,"The correct answer is C: Regulating leptin, an appetite-controlling hormone. In the provided passage, it is stated that human growth hormone (HGH) is essential for regulating metabolism, building muscle, facilitating calcium retention, and stimulating the immune system. However, leptin is not mentioned as directly regulated by HGH. Instead, the passage discusses how inadequate sleep can lead to lowered levels of leptin, affecting appetite control. Choices A, B, and D are all roles of HGH explicitly mentioned in the passage, making them incorrect answers. Therefore, C is the correct choice as it was not directly linked to HGH in the passage.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,The word 'massive' in line 4 is closest in meaning to?,"The Moon has been worshipped by primitive peoples and has inspired humans to create everything from lunar calendars to love sonnets, but what do we really know about it? The most accepted theory about the origin of the Moon is that it was formed of the debris from a massive collision with the young Earth about 4.6 billion years ago. A huge body, perhaps the size of Mars, struck the Earth, throwing out an immense amount of debris that coalesced and cooled in orbit around the Earth.The development of Earth is inextricably linked to the Moon; the Moon's gravitational influence upon the Earth is the primary cause of ocean tides. In fact, the Moon has more than twice the effect upon the tides than does the Sun. The Moon makes one rotation and completes a revolution around the Earth every 27 days, 7 hours, and 43 minutes. This synchronous rotation is caused by an uneven distribution of mass in the Moon (essentially, it is heavier on one side than the other) and has allowed the Earth's gravity to keep one side of the Moon permanently facing Earth. It is an average distance from Earth of 384,403 km.The Moon has no atmosphere; without an atmosphere, the Moon has nothing to protect it from meteorite impacts, and thus the surface of the Moon is covered with impact craters, both large and small. The Moon also has no active tectonic or volcanic activity, so the erosive effects of atmospheric weathering, tectonic shifts, and volcanic upheavals that tend to erase and reform the Earth's surface features are not at work on the Moon. In fact, even tiny surface features such as the footprint left by an astronaut in the lunar soil are likely to last for millions of years, unless obliterated by a chance meteorite strike. The surface gravity of the Moon is about one-sixth that of the Earth's. Therefore, a man weighing 82 kilograms on Earth would only weigh 14 kilograms on the Moon.",Dense,Impressive,Huge,Unavoidable,,,,C,"In the context of the passage, 'massive' is used to describe the size of the collision that formed the Moon, indicating something very large or huge. While 'dense' means closely compacted, 'impressive' means evoking admiration, 'huge' is the closest synonym to 'massive' in this context. 'Unavoidable' does not convey the same meaning as 'massive' in this sentence, making it incorrect.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,What is the meaning of the word 'abstain' as used in the last paragraph?,"EATING DISORDERS: 
It is hard to imagine how the eating disorders anorexia and bulimia could be any worse than they already are, but somehow people have found a way. Known unofficially as drunkorexia, this condition is a blend of self-imposed starvation or binging and purging mixed with alcohol abuse. Anorexics may use alcohol either to soothe their conscience for eating something they feel they should not, or as their only sustenance. Bulimics binge on alcohol for emotional reasons and then purge by vomiting it back up.
Our current culture's obsession with thinness, coupled with widespread acceptance of drug and alcohol abuse, have made this combination particularly attractive. Dr. Doug Bunnell, former president of the National Eating Disorders Association, said, ""Binge drinking is almost cool and hip, and losing weight and being thin is a cultural imperative for young women in America. Mixing both is not surprising, and it has reached a tipping point in terms of public awareness.""
Some experts are beginning to explore the possible psychological and neurological links between eating disorders and substance abuse. Does eating or binging somehow trigger the same pleasure centers as drugs or alcohol? Another avenue being explored is what to do if a person has both conditions. Treatment for addiction is abstinence, but no one can abstain completely from food. As Dr. Kevin Wandler, vice president for medical services at an eating disorders center, phrases it, ""Eating normally would be an effective behavior, but it's easier to give up alcohol and drugs because you never need them again. If your drug is food, that's a challenge.""",Dishonor,Go without,Connect to,Liberate,,,,B,"In the context of the passage, 'abstain' means to refrain from or go without. The passage discusses the challenges of treating individuals with both eating disorders and substance abuse issues. It mentions that while treatment for addiction involves abstinence, it is not possible to completely abstain from food. This highlights the meaning of 'abstain' as 'go without' in this context. The other choices are incorrect: 'Dishonor' does not relate to abstain, 'Connect to' is not synonymous with abstain, and 'Liberate' does not align with the context of the passage.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,Which statement could be inferred from the passage?,"EXERCISE:  
It sounds contradictory, but here is some new advice for people who are feeling unusually tired: get out and get some exercise. Studies have shown that regular, low-impact workouts such as short strolls or brief bike rides can help increase overall energy levels by 20 percent and decrease fatigue levels by 65 percent. In other words, if you are feeling tired, the best way to feel more energetic is to get some exercise.
This advice is based on a study done by the University of Georgia's Exercise Pathology Lab. Three dozen people who did not get any kind of regular exercise yet consistently felt exhausted were divided into three groups. One group did not exercise at all. A second group worked out intensively on an exercise bike three times a week. The third group also worked out but at a slower pace. Of the two groups that exercised, both reported a 20 percent increase in energy levels. However, the group that exercised at a more leisurely pace stated that they experienced far less fatigue than the high-intensity group.
This was not the first study to point out a link between regular exercise and energy levels. The same team that conducted it also published one several years ago that stated that low-impact exercise can also help reduce fatigue in patients with serious health conditions such as heart disease and cancer. Clearly, it is time to get off the couch and onto the track.",The Georgia lab had conducted a previous study on the connection between exercise and energy.,Exercise regimes are not recommended for patients with serious health problems.,An increase in energy levels does not always correspond directly to a reduction in fatigue.,There were fewer than 10 participants in each group in the Georgia study.,,,,A,"The correct answer is A. The passage mentions a previous study by the same team on the connection between exercise and energy, indicating that the lab had conducted such research before. Choice B is incorrect because the passage actually states that low-impact exercise can help reduce fatigue in patients with serious health conditions. Choice C is incorrect as the passage indicates that an increase in energy levels does correspond to a reduction in fatigue. Choice D is incorrect as the passage does not provide information on the exact number of participants in each group.",
HESI A2,Reading Comprehension,Reading Comprehension HESI A2 Practice Test,What fact is stated about the Amazon Rainforest in the passage?,"AMAZON RAINFOREST:
  About 6% of the earth is covered by rainforests. The largest rainforest in the world is the Amazon Basin, which stretches over 2.3 million square miles in nine different South American countries. This area is double the length of all the other remaining rainforests in the world. Brazil contains 60%of the Amazonian rainforest, since it lies at the mouth of the river Amazon. This river is the second largest in the world and contains more than one-fifth of the world's fresh water.
  The Amazon rainforest is a type of wet broadleaf forest. The weather there is very humid and warm as it rains quite a bit. Because of the high rainfall, the forest is very rich and green. The tree leaves are pointed and narrow so that the raindrops can easily drop off wet plants. This tropical rainforest has more living species than the entire European continent. There are over 400 types of insects living in one single rain forest tree for a total of 2.5 million species. One square kilometer of rainforest may contain over 75,000 types of trees and approximately 438,000 different kinds of plants, which comes to a total of 90,000 tons of greenery overall. The Amazon rainforest is home to 2,000 birds
 and mammals, with one in every five birds in the world living there. 
Local farmers have lived off this rich and diverse land for thousands of years. They have been able to find food and water here without destroying the land. The Kayapo people of Brazil farm in an environmentally-friendly way. Instead of chemicals, they use burned wood to enrich the soil, and plant banana trees, which attract wasps. These wasps then feed on leafcutter ants and get rid of these harmful insects. The rainforest also offers a lot of tropical fruits, such as bananas and coconuts, as food. Cinnamon is made from the bark of a rainforest tree. Amazonian Indians use the fruit and stem of the Buruti plant as a drink, to make bread and to build houses. Many other plants are used as medicine. But the Amazon rainforest is in very big danger of disappearing. 9,169 square miles of forest have been cut down in 2003 in Brazil alone. An area of the size of a football field is burned down basically every minute, which means that the rain forest may be gone by the year 2030.The dangers related to this type of activity are obvious. Trees take in poisonous carbon dioxide from the air and give off oxygen. There is more oxygen and less carbon dioxide around a rainforest. When trees are cut down, however, the amount of carbon dioxide increases, and the air gets warmer. This leads to global warming, which is extremely harmful to the environment. 
It is estimated that the burning of Brazilian rainforests alone produces 200 million metric tons of carbon dioxide a year. Another danger connected with destroying the rainforest is the disappearance of plants and animals. When trees are cut down, plants and animals have no more food left and slowly die out. Killing wild animals is illegal in Brazil, but there is plenty of stealing going on. 38 million animals are stolen and sold illegally each year. The most hunted animals are birds, especially parrots, followed by snakes and the jaguar.",The Amazon Rainforest is shrinking rapidly.,The Amazon Rainforest is home to diverse species.,The Amazon Rainforest is unaffected by human activity.,The Amazon Rainforest contains few animals.,,,,B,"The correct answer is B. The passage highlights the incredible biodiversity of the Amazon Rainforest, emphasizing its diverse species of plants and animals. The passage describes the rainforest as home to over 2,000 birds and mammals, with one in every five birds in the world living there. It also mentions the vast variety of insects, trees, and plants present in the rainforest, showcasing its rich ecosystem. Choice A is incorrect as the passage does not directly state that the Amazon Rainforest is shrinking rapidly, although it does mention the dangers it faces. Choice C is incorrect as the passage clearly indicates that human activity, such as deforestation, poses a significant threat to the rainforest. Choice D is incorrect as the passage provides evidence of a high number of animals inhabiting the Amazon Rainforest.",
